origin_period,12,24,36,48,60,72,84,96,108,120,132,144,156,168,180
2010,1452,2743,3954,4922,5648,6213,6657,7020,7302,7520,7690,7819,7915,7996,8069
2011,1562,2951,4253,5295,6076,6684,7161,7552,7855,8090,8272,8411,8515,8602,
2012,1638,3094,4459,5551,6370,7007,7508,7917,8236,8481,8672,8818,8927,,
2013,1742,3290,4742,5903,6774,7451,7983,8419,8758,9019,9222,9377,,,
2014,1856,3506,5053,6291,7219,7941,8508,8972,9333,9611,9828,,,,
2015,1913,3613,5207,6483,7439,8183,8767,9246,9618,9905,,,,,
2016,2045,3862,5566,6929,7951,8746,9371,9882,10279,,,,,,
2017,2178,4114,5929,7381,8470,9317,9982,10527,,,,,,,
2018,2332,4404,6347,7901,9067,9974,10686,,,,,,,,
2019,2487,4698,6771,8429,9672,10640,,,,,,,,,
2020,2542,4801,6919,8613,9884,,,,,,,,,,
2021,2705,5110,7364,9168,,,,,,,,,,,
2022,2880,5440,7840,,,,,,,,,,,,
2023,3075,5809,,,,,,,,,,,,,
2024,3274,,,,,,,,,,,,,,
